,freq,bf
0,75028571429.0,0.12414975826460051
1,75057142857.0,0.12416752871166037
2,75085714286.0,0.12418404140790007
3,75114285714.0,0.12419929098720472
4,75142857143.0,0.1242132746339828
5,75171428571.0,0.1242259916434949
6,75200000000.0,0.12423744384443536
7,75228571429.0,0.12424763519816806
8,75257142857.0,0.1242565718346631
9,75285714286.0,0.1242642620526826
10,75314285714.0,0.12427071626696051
11,75342857143.0,0.12427594694109945
12,75371428571.0,0.1242799683398843
13,75400000000.0,0.12428279667086728
14,75428571429.0,0.12428444993994536
15,75457142857.0,0.12428494778112587
16,75485714286.0,0.12428431146031804
17,75514285714.0,0.12428256382993741
18,75542857143.0,0.12427972907710161
19,75571428571.0,0.12427583287301558
20,75600000000.0,0.12427090190127155
21,75628571429.0,0.12426496422755173
22,75657142857.0,0.12425804885274361
23,75685714286.0,0.12425018574800495
24,75714285714.0,0.12424140578530274
25,75742857143.0,0.12423174059465936
26,75771428571.0,0.12422122247944767
27,75800000000.0,0.12420988428182
28,75828571429.0,0.12419775946798395
29,75857142857.0,0.12418488172022468
30,75885714286.0,0.12417128522745768
31,75914285714.0,0.12415700419241649
32,75942857143.0,0.12414207319335402
33,75971428571.0,0.12412652669433344
34,76000000000.0,0.12411039915127065
35,76028571429.0,0.12409372496932658
36,76057142857.0,0.12407653841392063
37,76085714286.0,0.12405887343625355
38,76114285714.0,0.12404076367348238
39,76142857143.0,0.12402224236608217
40,76171428571.0,0.12400334235778931
41,76200000000.0,0.1239840958925873
42,76228571429.0,0.12396453479926572
43,76257142857.0,0.12394469014578724
44,76285714286.0,0.1239245922818406
45,76314285714.0,0.12390427106899105
46,76342857143.0,0.12388375534021212
47,76371428571.0,0.12386307331826307
48,76400000000.0,0.12384225225288636
49,76428571429.0,0.12382131850540734
50,76457142857.0,0.1238002976297996
51,76485714286.0,0.1237792141337577
52,76514285714.0,0.12375809162052387
53,76542857143.0,0.12373695270242613
54,76571428571.0,0.12371581888009842
55,76600000000.0,0.12369471075443172
56,76628571429.0,0.1236736478767897
57,76657142857.0,0.12365264863863623
58,76685714286.0,0.1236317304409924
59,76714285714.0,0.12361090965841104
