,freq,delta_7g
0,75028571429.0,1.5648570908648938
1,75057142857.0,1.564703464417905
2,75085714286.0,1.5645507280301485
3,75114285714.0,1.564398937790666
4,75142857143.0,1.5642481475440424
5,75171428571.0,1.5640984096063437
6,75200000000.0,1.5637163708664292
7,75228571429.0,1.563569045539253
8,75257142857.0,1.5634228146358216
9,75285714286.0,1.5635109400021685
10,75314285714.0,1.563367162678447
11,75342857143.0,1.5632247002278752
12,75371428571.0,1.5630835876077807
13,75400000000.0,1.5636394457057774
14,75428571429.0,1.56351133729629
15,75457142857.0,1.5633844292689991
16,75485714286.0,1.5625332387717588
17,75514285714.0,1.5623993033196006
18,75542857143.0,1.5622668695100523
19,75571428571.0,1.5621359524468899
20,75600000000.0,1.5620065648988157
21,75628571429.0,1.5618787170328552
22,75657142857.0,1.5617524153797413
23,75685714286.0,1.5625558662208363
24,75714285714.0,1.5624407659099118
25,75742857143.0,1.562326903102992
26,75771428571.0,1.562214261581124
27,75800000000.0,1.5611441633817162
28,75828571429.0,1.5610271386991283
29,75857142857.0,1.5609116352583183
30,75885714286.0,1.5607976398387984
31,75914285714.0,1.560685135932276
32,75942857143.0,1.560574105528018
33,75971428571.0,1.5604645279314606
34,76000000000.0,1.5603563810353869
35,76028571429.0,1.5602496393781662
36,76057142857.0,1.5601442764128262
37,76085714286.0,1.5600402638342006
38,76114285714.0,1.5599375709328436
39,76142857143.0,1.5598361655604953
40,76171428571.0,1.5597360136224434
41,76200000000.0,1.55963707978113
42,76228571429.0,1.5595393273557976
43,76257142857.0,1.5594427173895098
44,76285714286.0,1.559347210523692
45,76314285714.0,1.559252765837026
46,76342857143.0,1.559159341251314
47,76371428571.0,1.5590668934676248
48,76400000000.0,1.5589753780211604
49,76428571429.0,1.5588847505751224
50,76457142857.0,1.5587949646464943
51,76485714286.0,1.5587059744449254
52,76514285714.0,1.5586177318895134
53,76542857143.0,1.5585301901773
54,76571428571.0,1.5584433007531322
55,76600000000.0,1.5583570152580681
56,76628571429.0,1.5582712849697344
57,76657142857.0,1.5581860610614584
58,76685714286.0,1.5581012944012627
59,76714285714.0,1.5580169361095368
60,76742857143.0,1.5579329374529423
61,76771428571.0,1.557849249625352
62,76800000000.0,1.557765824273897
63,76828571429.0,1.5576826131365344
64,76857142857.0,1.5575995685463764
65,76885714286.0,1.5575166433746315
66,76914285714.0,1.5574337908905849
67,76942857143.0,1.557350964797023
68,76971428571.0,1.557268120326028
69,77000000000.0,1.5571852125943246
70,77028571429.0,1.5571021978516728
71,77057142857.0,1.557019033129611
72,77085714286.0,1.556935676730825
73,77114285714.0,1.558000646277773
74,77142857143.0,1.557920592857487
75,77171428571.0,1.557839916250697
76,77200000000.0,1.5577585691889213
77,77228571429.0,1.556514622633673
78,77257142857.0,1.5564292936122115
79,77285714286.0,1.5562362441489441
80,77314285714.0,1.5561527007936555
81,77342857143.0,1.5560684809235232
82,77371428571.0,1.5560831011161214
83,77400000000.0,1.5559951782791779
84,77428571429.0,1.5559066472988885
85,77457142857.0,1.5555175054124042
86,77485714286.0,1.5551193309681868
87,77514285714.0,1.5547196731159485
88,77542857143.0,1.5543187797350013
89,77571428571.0,1.5539168931874086
90,77600000000.0,1.5535142494758178
91,77628571429.0,1.5531110798213623
92,77657142857.0,1.5525087204136314
93,77685714286.0,1.5523040499573229
94,77714285714.0,1.5519006176708323
95,77742857143.0,1.5512302069254562
96,77771428571.0,1.5510949372726541
97,77800000000.0,1.5506930748126226
98,77828571429.0,1.550292109559468
99,77857142857.0,1.5498922158299147
100,77885714286.0,1.5494935614277203
101,77914285714.0,1.5490963065371535
102,77942857143.0,1.5487006037039528
103,77971428571.0,1.5478495408589197
104,78000000000.0,1.5479144285197037
105,78028571429.0,1.547524225333727
106,78057142857.0,1.547136112831251
107,78085714286.0,1.54675020721902
108,78114285714.0,1.5463666189502252
109,78142857143.0,1.5459854512175735
110,78171428571.0,1.5456068003835677
111,78200000000.0,1.5452307568639814
112,78228571429.0,1.544857404509278
113,78257142857.0,1.54448682088041
114,78285714286.0,1.544119077870219
115,78314285714.0,1.543754242064252
116,78342857143.0,1.5433923730696533
117,78371428571.0,1.5430335272961866
118,78400000000.0,1.5426777538695955
119,78428571429.0,1.5423250990220083
120,78457142857.0,1.541975602342724
121,78485714286.0,1.5416293005117936
122,78514285714.0,1.5412862249543675
123,78542857143.0,1.5409464033402873
124,78571428571.0,1.540609860052502
125,78600000000.0,1.5402766149434122
126,78628571429.0,1.53994668512048
127,78657142857.0,1.5396919251068972
128,78685714286.0,1.53936057954129
129,78714285714.0,1.5390328475898158
130,78742857143.0,1.5387087310735854
131,78771428571.0,1.5383882292298532
132,78800000000.0,1.5380713388494751
133,78828571429.0,1.5377580549819818
134,78857142857.0,1.5375002008861305
135,78885714286.0,1.5373608082379002
136,78914285714.0,1.537221355684708
137,78942857143.0,1.5370818139670686
138,78971428571.0,1.5369421540957662
139,79000000000.0,1.536802347681503
140,79028571429.0,1.5367536390238072
141,79057142857.0,1.536607421459201
142,79085714286.0,1.5365048561459504
143,79114285714.0,1.5363586027540155
144,79142857143.0,1.536212312851939
145,79171428571.0,1.5359589422064586
146,79200000000.0,1.5358173800458363
147,79228571429.0,1.5356754713259377
148,79257142857.0,1.535533195166531
149,79285714286.0,1.5353905307425109
150,79314285714.0,1.5352474584199278
151,79342857143.0,1.5353165623186262
152,79371428571.0,1.5351646032302755
153,79400000000.0,1.535012145589148
154,79428571429.0,1.5346707245980094
155,79457142857.0,1.534525345979004
